year,quarter,id,industry,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,CPIA,CPIB,CPIC
1968,4,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,19,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,22,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,24,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,26,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,29,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,34,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,47,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,48,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,49,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,56,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,61,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1968,4,66,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
