year,quarter,GB_CPIdot2,GB_CPIdot3,GB_CPIdot4,GB_CPIdot5,GB_CPIdot6,GB_CPIdot7,GB_CPIdot8,GB_CPIdot9,GB_CPIdot10,GB_CPIdot11,GBdate
1965,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19651116
1966,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19660224
1966,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19660504
1966,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19660817
1966,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19661115
1967,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19670201
1967,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19670517
1967,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19670809
1967,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19671108
1968,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19680206
1968,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19680424
1968,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19680807
1968,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19681120
1969,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19690129
1969,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19690521
1969,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19690806
1969,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19691119
1970,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19700204
1970,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19700429
1970,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19700812
1970,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19701209
1971,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19710203
1971,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19710428
1971,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19710820
1971,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19711208
1972,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19720209
1972,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19720517
1972,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19720809
1972,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19721213
1973,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19730207
1973,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19730509
1973,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19730815
1973,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19731114
1974,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19740213
1974,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19740515
1974,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19740814
1974,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19741211
1975,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19750212
1975,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19750514
1975,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19750813
1975,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19751112
1976,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19760211
1976,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19760512
1976,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19760811
1976,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19761110
1977,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19770209
1977,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19770511
1977,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19770810
1977,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19771109
1978,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19780222
1978,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19780510
1978,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19780809
1978,4,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19781115
1979,1,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19790131
1979,2,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19790516
1979,3,#N/A,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19790808
1979,4,13,13.8,10.1,9,9,#N/A,#N/A,#N/A,#N/A,#N/A,19791114
1980,1,15.6,11.7,9.2,9.2,9.2,8.4,8.5,8.4,#N/A,#N/A,19800130
1980,2,16.1,13.1,8.2,8.6,9.8,9.5,9.1,#N/A,#N/A,#N/A,19800514
1980,3,8.2,9.8,10.8,10.4,9.5,9,#N/A,#N/A,#N/A,#N/A,19800806
1980,4,11.1,13.5,12.4,10.4,9.6,#N/A,#N/A,#N/A,#N/A,#N/A,19801112
1981,1,16.5,13.2,11.5,8.6,8.2,8,8,8,#N/A,#N/A,19810128
1981,2,9.3,11.3,10.5,8.8,7.9,7.4,7,#N/A,#N/A,#N/A,19810513
1981,3,10.2,10.3,9.8,7.1,7,6.4,#N/A,#N/A,#N/A,#N/A,19810812
1981,4,11.1,10.5,6.5,6.8,6.9,#N/A,#N/A,#N/A,#N/A,#N/A,19811110
1982,1,7.5,7.5,7.2,6.4,6,5.8,5.1,4.7,#N/A,#N/A,19820127
1982,2,2.6,6,5.6,4.9,4.8,4.8,4.7,#N/A,#N/A,#N/A,19820512
1982,3,8.2,4.3,5.5,4.8,4.8,4.6,#N/A,#N/A,#N/A,#N/A,19820818
1982,4,1.6,5.2,5.1,4.7,4.8,#N/A,#N/A,#N/A,#N/A,#N/A,19821110
1983,1,3.2,4.9,4.7,4.4,4.2,4,4.1,4,#N/A,#N/A,19830202
1983,2,5.3,4.6,4.3,4.3,4.2,4,4,#N/A,#N/A,#N/A,19830518
1983,3,4.2,4.7,4.8,5,5.2,5.3,#N/A,#N/A,#N/A,#N/A,19830817
1983,4,5.4,5.2,5.3,5.4,5.5,#N/A,#N/A,#N/A,#N/A,#N/A,19831109
1984,1,4.9,5.1,5.3,5.3,5.2,5.2,5.3,5.4,#N/A,#N/A,19840125
1984,2,4.4,5.4,5.6,5.6,5.6,5.8,6,#N/A,#N/A,#N/A,19840516
1984,3,3.7,4.6,5,5,5.5,5.7,#N/A,#N/A,#N/A,#N/A,19840815
1984,4,4.1,4.1,4.4,4.8,4.9,#N/A,#N/A,#N/A,#N/A,#N/A,19841031
1985,1,3.5,3.7,3.9,4.1,4.1,4.1,4.3,4.6,#N/A,#N/A,19850206
1985,2,4.1,3.4,3.7,4,4,4.2,4.4,#N/A,#N/A,#N/A,19850515
1985,3,3.3,3.6,4,4.1,4.3,4.5,#N/A,#N/A,#N/A,#N/A,19850814
1985,4,3.6,4.2,3.9,4.1,4.2,#N/A,#N/A,#N/A,#N/A,#N/A,19851030
1986,1,3.7,1.9,3.1,3.6,4.1,4.2,4.3,4.4,#N/A,#N/A,19860205
1986,2,-1.5,2.8,3.7,4,4,4.2,4.3,#N/A,#N/A,#N/A,19860514
1986,3,1.8,3.6,4.6,3.7,3.7,3.7,#N/A,#N/A,#N/A,#N/A,19860813
1986,4,3.6,4.2,3.6,3.4,3.4,#N/A,#N/A,#N/A,#N/A,#N/A,19861029
1987,1,4.6,3.5,3.6,3.7,4.2,4.1,4.3,4.4,#N/A,#N/A,19870204
1987,2,4.4,4,3.8,4.4,4.7,4.9,4.9,#N/A,#N/A,#N/A,19870513
1987,3,4.1,4.1,4.4,4.7,4.9,5.1,#N/A,#N/A,#N/A,#N/A,19870812
1987,4,3.2,4.1,4.5,4.7,5.2,#N/A,#N/A,#N/A,#N/A,#N/A,19871028
1988,1,3.1,4.5,4.6,4.8,4.6,4.8,4.8,4.7,#N/A,#N/A,19880203
1988,2,4.8,5,4.9,4.6,4.7,4.5,4.6,#N/A,#N/A,#N/A,19880511
1988,3,4.3,5.1,5.3,4.9,4.8,4.8,#N/A,#N/A,#N/A,#N/A,19880810
1988,4,4.5,4.3,4.3,4.2,4.4,#N/A,#N/A,#N/A,#N/A,#N/A,19881026
1989,1,4.7,4.9,4.7,5.1,5.1,5.2,5.1,5.1,#N/A,#N/A,19890201
1989,2,6.1,4.7,4.2,5.1,5.1,5,5,#N/A,#N/A,#N/A,19890510
1989,3,3,3.6,4.2,4.5,4.7,4.7,#N/A,#N/A,#N/A,#N/A,19890816
1989,4,3.3,3.7,4.1,4.2,4.3,4.6,4.4,4.4,4.4,#N/A,19891108
1990,1,5.6,3.7,4.2,4.3,4.6,4.5,4.5,4.5,#N/A,#N/A,19900131
1990,2,3.3,3.8,4.3,4.6,4.4,4.3,4.3,#N/A,#N/A,#N/A,19900509
1990,3,6.1,5.3,4.4,4.3,4.4,4.5,4.5,4.4,4.3,4.3,19900815
1990,4,8,5,4.2,3.9,4.3,4.2,4.1,3.9,3.8,#N/A,19901107
1991,1,3.4,3.8,4.3,4.1,4.1,4,3.8,3.7,#N/A,#N/A,19910130
1991,2,2.7,4,3.6,3.8,3.5,3.1,3.1,#N/A,#N/A,#N/A,19910508
1991,3,3.3,4.1,4.1,3.6,3.6,3.5,3.4,3.3,3.2,3.1,19910814
1991,4,3.8,4.5,3.6,3.3,3.5,3.4,3.3,3.2,3.2,#N/A,19911030
1992,1,3.5,3.5,3.4,3.2,3.1,2.8,2.8,2.7,#N/A,#N/A,19920130
1992,2,3.8,3.7,3.4,3.3,3.2,3.1,3.1,#N/A,#N/A,#N/A,19920514
1992,3,2.7,3.4,3.1,3.1,3.1,2.9,2.7,2.5,2.4,2.4,19920813
1992,4,3,3.1,2.7,2.5,2.3,2.3,2.1,2,2,#N/A,19921112
1993,1,2.4,2.8,2.7,2.6,2.5,2.4,2.3,2.2,#N/A,#N/A,19930129
1993,2,2.9,2.7,3.1,3.1,3,3.3,2.9,#N/A,#N/A,#N/A,19930514
1993,3,1.9,4.2,3.7,3.2,3,2.9,#N/A,#N/A,#N/A,#N/A,19930811
1993,4,3.2,3.6,3.1,2.9,2.8,3,2.7,2.6,2.6,#N/A,19931110
1994,1,3.6,3.6,3,2.8,3.4,3.1,2.9,2.9,#N/A,#N/A,19940131
1994,2,2.7,3.5,3.3,3.1,2.9,2.8,2.7,#N/A,#N/A,#N/A,19940513
1994,3,4,3.5,3.3,2.9,2.9,2.9,#N/A,#N/A,#N/A,#N/A,19940812
1994,4,3.1,3.7,3.3,3.1,2.9,2.9,2.9,2.9,2.9,#N/A,19941109
1995,1,2.9,2.9,3,3,3,3.1,3.1,3.2,#N/A,#N/A,19950125
1995,2,3.6,3.2,2.8,2.9,3,3,3,#N/A,#N/A,#N/A,19950517
1995,3,2,2.8,3.3,3.1,2.9,2.8,#N/A,#N/A,#N/A,#N/A,19950816
1995,4,2.1,3.2,3.4,3,3,2.9,2.9,2.9,2.9,#N/A,19951108
1996,1,3.2,3.4,2.9,2.9,3,3,3,3,#N/A,#N/A,19960321
1996,2,4.2,3.1,3,3.3,3.3,3.2,3.2,#N/A,#N/A,#N/A,19960516
1996,3,2.7,3.1,3.3,3.5,3.2,3.2,#N/A,#N/A,#N/A,#N/A,19960815
1996,4,3.3,3.1,2.6,2.6,2.9,2.8,2.8,2.8,2.9,#N/A,19961106
1997,1,3.1,2.3,2.3,2.8,2.9,2.9,3,3.1,#N/A,#N/A,19970129
1997,2,1.2,2.7,3.1,2.8,2.9,3,3,#N/A,#N/A,#N/A,19970515
1997,3,2.2,2.6,2.4,2.5,2.7,2.7,#N/A,#N/A,#N/A,#N/A,19970814
1997,4,2.4,2,2.2,2.3,2.4,2.5,2.5,2.5,2.5,#N/A,19971106
1998,1,0.5,1.7,2.1,2.2,2.1,2,2,2,#N/A,#N/A,19980128
1998,2,1.6,2.3,2.1,2.1,2.1,2.1,2.1,#N/A,#N/A,#N/A,19980514
1998,3,1.7,2,2.4,2.1,2,2,#N/A,#N/A,#N/A,#N/A,19980813
1998,4,1.8,2.2,2.3,2.1,2.1,2.1,2.1,2.1,2.1,#N/A,19981112
1999,1,2.1,2.4,2.3,2.3,2.5,2.4,2.4,2.4,#N/A,#N/A,19990128
1999,2,3.5,2.3,2.1,1.7,2.2,2.3,2.3,#N/A,#N/A,#N/A,19990513
1999,3,2.5,2.8,2.1,2.2,2.4,2.5,#N/A,#N/A,#N/A,#N/A,19990818
1999,4,3,2,2.4,2.2,2.4,2.3,2.6,2.4,2.5,#N/A,19991110
2000,1,2.9,2.7,1.9,2.1,2.2,2.4,2.4,2.5,#N/A,#N/A,20000127
2000,2,3.5,2.1,2.3,2.2,2.5,2.4,2.6,#N/A,#N/A,#N/A,20000511
2000,3,2.6,2,2.2,2.2,2.3,2.4,#N/A,#N/A,#N/A,#N/A,20000816
2000,4,2.8,2.2,2.1,2.3,2.3,2.4,2.4,2.5,2.5,#N/A,20001108
2001,1,3.9,1.8,1.5,1.8,1.9,2,2,2,#N/A,#N/A,20010125
2001,2,3.4,1.6,1.2,1.6,1.9,2.1,2.2,#N/A,#N/A,#N/A,20010509
2001,3,0.5,2.1,2.1,2.1,2.1,2.2,#N/A,#N/A,#N/A,#N/A,20010816
2001,4,0.3,1.9,2.1,2.1,2,2,1.9,1.9,1.9,#N/A,20011031
2002,1,1.1,2.2,2.1,2,1.9,1.8,1.8,1.8,#N/A,#N/A,20020123
2002,2,4,2,1.7,1.7,1.8,1.8,1.9,#N/A,#N/A,#N/A,20020501
2002,3,1.7,1.9,1.8,1.8,1.9,1.9,#N/A,#N/A,#N/A,#N/A,20020807
2002,4,2.7,1.4,1.5,1.6,1.7,1.7,1.7,1.7,1.8,#N/A,20021030
2003,1,2.9,1.6,1.1,1.4,1.6,1.6,1.6,1.6,#N/A,#N/A,20030122
2003,2,0.3,0.7,1.5,1.5,1.4,1.4,1.4,#N/A,#N/A,#N/A,20030430
2003,3,1.9,1.4,0.8,0.8,1,1,#N/A,#N/A,#N/A,#N/A,20030806
2003,4,1.2,0.7,0.9,1,1.1,1.2,1.2,1.2,1.3,#N/A,20031022
2004,1,2.5,0.7,0.6,0.9,1.1,1.2,1.2,1.3,#N/A,#N/A,20040121
2004,2,2.2,0.6,0.9,1.2,1.3,1.4,1.4,#N/A,#N/A,#N/A,20040428
2004,3,2.1,1.3,1.2,1.5,1.5,1.6,#N/A,#N/A,#N/A,#N/A,20040805
2004,4,3.2,1.6,1.1,1.3,1.5,1.5,1.6,1.5,1.6,#N/A,20041103
2005,1,1,1.8,1.7,1.6,1.6,1.6,1.6,1.6,#N/A,#N/A,20050126
2005,2,4.2,1.5,1.9,1.8,1.8,1.8,1.8,#N/A,#N/A,#N/A,20050428
2005,3,2.5,2.9,2.6,2.2,2.1,2.1,#N/A,#N/A,#N/A,#N/A,20050804
2005,4,4.4,1.2,2.3,2.2,2.1,1.9,1.9,1.8,1.8,#N/A,20051026
2006,1,2.5,3,2.6,2.3,2.2,2.1,2,1.9,#N/A,#N/A,20060125
2006,2,4.4,2.2,2.4,2.4,2.2,2.1,2,#N/A,#N/A,#N/A,20060503
2006,3,4.2,2.3,2.1,2.4,2.3,2.2,#N/A,#N/A,#N/A,#N/A,20060803
2006,4,-1.9,3.8,2.9,2.7,2.5,2.4,2.3,2.1,2.1,#N/A,20061018
