year,quarter,GB_Unemp2,GB_Unemp3,GB_Unemp4,GB_Unemp5,GB_Unemp6,GB_Unemp7,GB_Unemp8,GB_Unemp9,GB_Unemp10,GB_Unemp11,GBdate
1965,4,4.2,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19651116
1966,1,3.8,3.6,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19660224
1966,2,3.5,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19660504
1966,3,3.8,3.7,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19660817
1966,4,3.9,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19661115
1967,1,3.9,4,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19670201
1967,2,3.9,4,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19670517
1967,3,3.9,3.8,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19670809
1967,4,4,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19671108
1968,1,3.7,3.6,3.8,3.8,,#N/A,#N/A,#N/A,#N/A,#N/A,19680206
1968,2,3.5,,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19680424
1968,3,3.8,4,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19680807
1968,4,3.7,3.9,4.1,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19681120
1969,1,3.6,3.8,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19690129
1969,2,3.5,3.6,3.8,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19690521
1969,3,3.7,3.9,4.1,4.5,,#N/A,#N/A,#N/A,#N/A,#N/A,19690806
1969,4,4,4.2,4.5,4.8,5,#N/A,#N/A,#N/A,#N/A,#N/A,19691119
1970,1,4.2,4.6,4.9,5.1,,#N/A,#N/A,#N/A,#N/A,#N/A,19700204
1970,2,4.6,4.7,4.8,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19700429
1970,3,5.1,5.3,5.5,5.7,,#N/A,#N/A,#N/A,#N/A,#N/A,19700812
1970,4,5.7,6,6.3,6.6,6.7,#N/A,#N/A,#N/A,#N/A,#N/A,19701209
1971,1,6.1,6.3,6.5,6.5,,#N/A,#N/A,#N/A,#N/A,#N/A,19710203
1971,2,6.2,6.4,6.4,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19710428
1971,3,6.1,6,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19710820
1971,4,5.9,5.7,5.6,5.5,5.3,#N/A,#N/A,#N/A,#N/A,#N/A,19711208
1972,1,5.8,5.7,5.6,5.4,,#N/A,#N/A,#N/A,#N/A,#N/A,19720209
1972,2,5.7,5.5,5.2,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19720517
1972,3,5.5,5.3,5.2,5.1,5,5,#N/A,#N/A,#N/A,#N/A,19720809
1972,4,5.3,5.1,5,4.9,4.8,#N/A,#N/A,#N/A,#N/A,#N/A,19721213
1973,1,5,4.9,4.8,4.7,,#N/A,#N/A,#N/A,#N/A,#N/A,19730207
1973,2,4.9,4.8,4.7,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,19730509
1973,3,4.7,4.7,4.9,5.1,5.3,5.5,#N/A,#N/A,#N/A,#N/A,19730815
1973,4,4.6,4.7,4.8,5,5.2,#N/A,#N/A,#N/A,#N/A,#N/A,19731114
1974,1,5.4,5.8,6,6.2,,#N/A,#N/A,#N/A,#N/A,#N/A,19740213
1974,2,5.2,5.5,5.7,5.9,6.1,#N/A,#N/A,#N/A,#N/A,#N/A,19740515
1974,3,5.5,6,6.4,6.7,7.1,7.3,#N/A,#N/A,#N/A,#N/A,19740814
1974,4,6.5,7.3,7.7,8,8.1,8.2,8.3,#N/A,#N/A,#N/A,19741211
1975,1,8.5,9.2,9.5,9.3,9.3,9.3,#N/A,#N/A,#N/A,#N/A,19750212
1975,2,9.2,9.4,9.3,9.1,9.1,#N/A,#N/A,#N/A,#N/A,#N/A,19750514
1975,3,8.6,8.3,8.1,7.9,7.8,7.6,#N/A,#N/A,#N/A,#N/A,19750813
1975,4,8.3,8.1,8,7.8,7.8,#N/A,#N/A,#N/A,#N/A,#N/A,19751112
1976,1,7.9,7.6,7.4,7.3,7.2,7.1,#N/A,#N/A,#N/A,#N/A,19760211
1976,2,7.4,7.2,7.1,6.9,6.8,#N/A,#N/A,#N/A,#N/A,#N/A,19760512
1976,3,7.6,7.3,7,6.8,6.6,6.5,#N/A,#N/A,#N/A,#N/A,19760811
1976,4,7.7,7.5,7.4,7.3,7.2,#N/A,#N/A,#N/A,#N/A,#N/A,19761110
1977,1,7.7,7.4,7.2,7.1,6.9,6.7,#N/A,#N/A,#N/A,#N/A,19770209
1977,2,6.9,6.8,6.7,6.5,6.4,#N/A,#N/A,#N/A,#N/A,#N/A,19770511
1977,3,6.8,6.7,6.6,6.5,6.4,6.3,#N/A,#N/A,#N/A,#N/A,19770810
1977,4,6.9,6.7,6.7,6.6,6.6,#N/A,#N/A,#N/A,#N/A,#N/A,19771109
1978,1,6.3,6.2,6.2,6.1,6,5.9,#N/A,#N/A,#N/A,#N/A,19780222
1978,2,5.9,5.9,5.8,5.7,5.7,#N/A,#N/A,#N/A,#N/A,#N/A,19780510
1978,3,6,5.9,5.8,5.8,5.9,6,#N/A,#N/A,#N/A,#N/A,19780809
1978,4,5.9,5.9,6,6.2,6.4,#N/A,#N/A,#N/A,#N/A,#N/A,19781115
1979,1,5.8,6,6.2,6.3,6.5,6.7,6.9,7.1,#N/A,#N/A,19790131
1979,2,5.9,6.1,6.3,6.5,6.7,6.9,7.1,#N/A,#N/A,#N/A,19790516
1979,3,6.1,6.8,7.3,7.5,7.7,7.9,#N/A,#N/A,#N/A,#N/A,19790808
1979,4,6.3,7.1,7.9,8.2,8.4,#N/A,#N/A,#N/A,#N/A,#N/A,19791114
1980,1,6.2,6.5,7.1,7.7,8,8.4,8.6,8.7,#N/A,#N/A,19800130
1980,2,7.3,7.9,8.3,8.7,8.9,9,9.1,#N/A,#N/A,#N/A,19800514
1980,3,8.1,8.5,8.8,8.7,8.6,8.5,#N/A,#N/A,#N/A,#N/A,19800806
1980,4,7.6,7.9,8.2,8.3,8.4,#N/A,#N/A,#N/A,#N/A,#N/A,19801112
1981,1,7.5,8,8.3,8.5,8.7,8.8,8.9,9,#N/A,#N/A,19810128
1981,2,7.3,7.4,7.5,7.7,7.9,8,8.1,#N/A,#N/A,#N/A,19810513
1981,3,7.1,7.5,7.7,7.9,8.1,8.2,#N/A,#N/A,#N/A,#N/A,19810812
1981,4,8.3,8.6,8.8,8.8,8.8,#N/A,#N/A,#N/A,#N/A,#N/A,19811110
1982,1,9.3,9.5,9.4,9.3,9.3,9.3,9.2,9.1,#N/A,#N/A,19820127
1982,2,9.5,9.6,9.5,9.4,9.3,9.1,8.8,#N/A,#N/A,#N/A,19820512
1982,3,10,9.9,9.8,9.8,9.7,9.5,#N/A,#N/A,#N/A,#N/A,19820818
1982,4,10.6,10.6,10.6,10.5,10.3,#N/A,#N/A,#N/A,#N/A,#N/A,19821110
1983,1,10.9,10.9,10.8,10.6,10.4,10.1,9.8,9.5,#N/A,#N/A,19830202
1983,2,10.1,9.8,9.7,9.6,9.4,9.1,8.9,#N/A,#N/A,#N/A,19830518
1983,3,9.3,9,8.8,8.7,8.5,8.4,#N/A,#N/A,#N/A,#N/A,19830817
1983,4,8.7,8.6,8.4,8.2,8,#N/A,#N/A,#N/A,#N/A,#N/A,19831109
1984,1,8,7.8,7.6,7.5,7.4,7.3,7.1,7,#N/A,#N/A,19840125
1984,2,7.6,7.3,7.2,7.1,7,6.9,6.8,#N/A,#N/A,#N/A,19840516
1984,3,7.2,6.9,6.8,6.7,6.6,6.5,#N/A,#N/A,#N/A,#N/A,19840815
1984,4,7.3,7.1,7,6.9,6.8,#N/A,#N/A,#N/A,#N/A,#N/A,19841031
1985,1,7.2,6.9,6.8,6.7,6.7,6.7,6.6,6.6,#N/A,#N/A,19850206
1985,2,7.3,7.2,7.1,7,7,7,7,#N/A,#N/A,#N/A,19850515
1985,3,7.3,7.2,7.1,7.1,7.1,7.1,#N/A,#N/A,#N/A,#N/A,19850814
1985,4,7.1,7.1,7.2,7.2,7.2,#N/A,#N/A,#N/A,#N/A,#N/A,19851030
1986,1,6.8,6.7,6.7,6.6,6.6,6.5,6.5,6.5,#N/A,#N/A,19860205
1986,2,7.1,6.9,6.7,6.5,6.4,6.3,6.2,#N/A,#N/A,#N/A,19860514
1986,3,7,6.9,6.8,6.7,6.7,6.6,#N/A,#N/A,#N/A,#N/A,19860813
1986,4,7,6.9,6.9,6.8,6.7,#N/A,#N/A,#N/A,#N/A,#N/A,19861029
1987,1,6.7,6.7,6.6,6.6,6.6,6.6,6.5,6.5,#N/A,#N/A,19870204
1987,2,6.4,6.4,6.4,6.3,6.3,6.2,6.2,#N/A,#N/A,#N/A,19870513
1987,3,6.1,6.1,6,6,6,6,#N/A,#N/A,#N/A,#N/A,19870812
1987,4,6.1,6.2,6.3,6.3,6.2,#N/A,#N/A,#N/A,#N/A,#N/A,19871028
1988,1,5.9,6,6,6,5.9,5.9,5.8,5.8,#N/A,#N/A,19880203
1988,2,5.5,5.6,5.6,5.7,5.8,5.8,5.9,#N/A,#N/A,#N/A,19880511
1988,3,5.4,5.4,5.4,5.5,5.6,5.7,#N/A,#N/A,#N/A,#N/A,19880810
1988,4,5.4,5.4,5.5,5.5,5.6,#N/A,#N/A,#N/A,#N/A,#N/A,19881026
1989,1,5.3,5.3,5.4,5.5,5.7,5.9,6,6.1,#N/A,#N/A,19890201
1989,2,5.3,5.3,5.4,5.5,5.7,5.9,6.1,#N/A,#N/A,#N/A,19890510
1989,3,5.3,5.3,5.4,5.5,5.6,5.7,#N/A,#N/A,#N/A,#N/A,19890816
1989,4,5.3,5.4,5.5,5.7,5.9,6,6.1,6.2,6.2,#N/A,19891108
1990,1,5.5,5.6,5.8,5.9,6,6,6.1,6.1,#N/A,#N/A,19900131
1990,2,5.4,5.5,5.6,5.7,5.9,6.1,6.2,#N/A,#N/A,#N/A,19900509
1990,3,5.6,5.9,6,6.1,6.1,6.1,6.1,6.1,6.1,6.1,19900815
1990,4,5.9,6.4,6.7,6.8,6.8,6.8,6.8,6.8,6.8,#N/A,19901107
1991,1,6.4,6.4,6.2,6.1,6.1,6.1,6,6,#N/A,#N/A,19910130
1991,2,6.8,6.8,6.6,6.4,6.3,6.3,6.2,#N/A,#N/A,#N/A,19910508
1991,3,6.8,6.8,6.6,6.5,6.5,6.4,6.3,6.2,6.1,6,19910814
1991,4,6.9,7,7,6.9,6.7,6.6,6.5,6.4,6.3,#N/A,19911030
1992,1,7.1,7.3,7.3,7.2,7.1,7,6.8,6.7,#N/A,#N/A,19920130
1992,2,7.2,7.1,7,6.9,6.8,6.7,6.6,#N/A,#N/A,#N/A,19920514
1992,3,7.6,7.4,7.4,7.3,7.2,7,6.9,6.7,6.6,6.4,19920813
1992,4,7.5,7.6,7.6,7.6,7.5,7.3,7.2,7,6.8,#N/A,19921112
1993,1,7.2,7.2,7.1,7,6.9,6.8,6.7,6.6,#N/A,#N/A,19930129
1993,2,7,7,7,6.9,6.8,6.7,6.7,#N/A,#N/A,#N/A,19930514
1993,3,6.9,6.9,6.9,6.8,6.8,6.8,#N/A,#N/A,#N/A,#N/A,19930811
1993,4,6.8,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.6,#N/A,19931110
1994,1,7,6.9,6.9,6.8,6.8,6.8,6.8,6.8,#N/A,#N/A,19940131
1994,2,6.5,6.8,6.6,6.6,6.6,6.6,6.6,#N/A,#N/A,#N/A,19940513
1994,3,6.2,6.2,6.2,6.2,6.3,6.3,#N/A,#N/A,#N/A,#N/A,19940812
1994,4,5.7,5.7,5.8,6,6.1,6.2,6.2,6.2,6.3,#N/A,19941109
1995,1,5.3,5.3,5.4,5.4,5.5,5.5,5.5,5.5,#N/A,#N/A,19950125
1995,2,5.7,5.7,5.8,5.8,5.8,5.8,5.8,#N/A,#N/A,#N/A,19950517
1995,3,5.8,5.8,5.8,5.9,5.9,5.9,#N/A,#N/A,#N/A,#N/A,19950816
1995,4,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.7,#N/A,19951108
1996,1,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,#N/A,#N/A,19960321
1996,2,5.5,5.5,5.5,5.5,5.5,5.5,5.5,#N/A,#N/A,#N/A,19960516
