,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
1968:04,3.599999998,#N/A,#N/A,#N/A,#N/A,3.790636378,4.237518234,3.873495393,4.55627352,4.546991269,3.6,3.6,3.6,3.933333333,3.933333333,3.790636378,4.21453686,3.921125252,4.505559577,4.654736325,3.746235943,4.142468027,3.902183289,4.324646077,5.015630923,3.433333333,3.433333333,3.4,3.433333333,3.4
1969:01,3.5,3.799999997,#N/A,#N/A,#N/A,3.458551833,4.103406262,4.574649355,4.214566683,4.697819586,3.433333333,3.6,3.6,3.6,3.933333333,3.458551833,4.077666639,4.560440869,4.458540281,4.693787516,3.31587961,3.993591356,4.482760467,4.057566106,4.605201162,3.333333333,3.333333333,3.366666667,3.366666667,3.4
1969:02,3.5,3.799999997,4,#N/A,#N/A,3.341123088,3.665178389,4.428276353,4.819385592,4.495335595,3.333333333,3.433333333,3.6,3.6,3.6,3.341123088,3.699841457,4.328521985,4.590103534,4.641725153,3.509041362,3.551983933,4.350169454,4.639597,4.310819241,3.466666667,3.466666667,3.466666667,3.433333333,3.433333333
1969:03,3.599999998,3.599999998,3.799999997,4,#N/A,3.69847849,3.451481746,3.945873407,4.692912569,4.965796574,3.466666667,3.333333333,3.433333333,3.6,3.6,3.69847849,3.630533173,4.061198841,4.634229962,4.693579632,3.642462474,3.824889116,3.983130184,4.628113414,4.630918965,3.7,3.6,3.6,3.6,3.566666667
1969:04,3.799999997,3.799999997,3.799999997,3.899999999,3.899999999,3.921256128,3.934748001,3.59680093,4.213167701,4.872745497,3.7,3.466666667,3.333333333,3.433333333,3.6,3.921256128,3.893928618,4.016168793,4.582576987,4.744179224,4.023820334,3.843401801,4.21110114,4.374990868,4.801183548,3.6,3.6,3.6,3.566666667,3.566666667
1970:01,4,4.099999998,3.949999999,3.899999999,#N/A,3.65342263,4.058605438,4.133721149,3.725181981,4.425643087,3.6,3.7,3.466666667,3.333333333,3.433333333,3.65342263,4.084162798,4.109015844,4.430566924,4.710992148,3.945298664,4.308521221,3.986253521,4.511834166,4.655886184,4.166666667,4.166666667,4.166666667,4.166666667,4.166666667
1970:02,4.649999999,4.349999998,4.399999999,3.899999999,#N/A,4.640154852,3.772761289,4.1100593,4.287221523,3.810284968,4.166666667,3.6,3.7,3.466666667,3.333333333,4.640154852,3.719358932,4.109040603,4.304196719,4.589979206,4.842346624,3.85972002,4.566821563,4.30643938,4.62425262,4.833333333,4.833333333,4.8,4.766666667,4.766666667
1970:03,5.099999998,4.799999997,4.399999999,4.399999999,#N/A,5.223738352,4.897064223,3.920279199,4.111408485,4.401717207,4.833333333,4.166666667,3.6,3.7,3.466666667,5.223738352,4.907081303,3.811864094,4.243245089,4.477246591,5.037929625,5.218607875,4.430444855,4.557291485,4.546129033,5.2,5.166666667,5.166666667,5.166666667,5.166666667
1970:04,5.699999999,5.199999999,4.749999998,4.299999997,4.299999997,5.307667992,5.355385491,4.993120667,4.06319697,4.106336898,5.2,4.833333333,4.166666667,3.6,3.7,5.307667992,5.305999479,4.934987738,4.114949183,4.397686993,5.632959609,4.980132094,5.334340497,4.666209994,4.511690515,5.866666667,5.866666667,5.8,5.833333333,5.833333333
1971:01,6,5.699999999,5.099999998,4.599999998,#N/A,6.254503509,5.279868565,5.339357692,5.006063549,4.186118176,5.866666667,5.2,4.833333333,4.166666667,3.6,6.254503509,5.221026101,5.143490304,4.426644343,4.229737312,5.935523618,5.861715045,4.773830675,5.193467529,4.60477005,5.933333333,5.933333333,5.966666667,5.966666667,5.933333333
