Year,F,F1,F2,FISCAL,FPRIME,GROWTH,NEWS,DUR,PARTY,VOTE2
1872,3.7,-1.21,3.16,-1,-1,,,,-1,56
1876,3.59,-0.11,1.1,-1,-1,,,,-1,48
1880,2.94,-0.65,-0.54,-1,-1,3.879,9,1.75,-1,50.22
1884,2.47,-0.47,0.18,-1,-1,1.589,2,2,-1,49.85
1888,2.34,-0.13,0.34,-1,-1,-5.553,3,0,1,50.41
1892,2.57,0.23,0.36,1,1,2.763,7,0,-1,48.27
1896,2.86,0.29,0.06,1,1,-10.024,6,0,1,47.76
1900,3.05,0.19,-0.1,-1,1,-1.425,7,0,-1,53.17
1904,2.45,-0.6,-0.79,-1,-1,-2.421,5,1,-1,60.01
1908,2.53,0.08,0.68,1,1,-6.281,8,1.25,-1,54.48
1912,2.47,-0.06,-0.14,-1,-1,4.164,8,1.5,-1,54.71
1916,2.1,-0.37,-0.31,-1,-1,2.229,3,0,1,51.68
1920,7.68,5.58,5.95,1,1,-11.463,5,1,1,36.12
1924,4.22,-3.46,-9.04,-1,-1,-3.872,10,0,-1,58.24
1928,3.77,-0.45,3.01,-1,-1,4.623,7,1,-1,58.82
1932,6.9,3.13,3.58,1,1,-14.586,4,1.25,-1,40.84
1936,10.5,3.6,0.47,1,1,11.836,9,0,1,62.46
1940,9.8,-0.7,-4.3,-1,-1,3.901,8,1,1,55
1944,43.6,33.8,34.5,1,1,4.233,14,1.25,1,53.77
1948,11.6,-32,-65.8,-1,-1,3.638,5,1.5,1,52.37
1952,19.4,7.8,39.8,1,1,0.726,7,1.75,1,44.6
1956,16.5,-2.9,-10.7,-1,-1,-1.451,5,0,-1,57.76
1960,17.8,1.3,4.2,1,1,0.455,5,1,-1,49.91
1964,18.5,0.7,-0.6,-1,1,5.087,10,0,1,61.34
1968,20.5,2,1.3,1,1,5.049,7,1,1,49.6
1972,19.6,-0.9,-2.9,-1,-1,5.949,4,0,-1,61.79
1976,21.4,1.8,2.7,1,1,3.806,5,1,-1,48.95
1980,21.7,0.3,-1.5,-1,1,-3.659,5,0,1,44.7
1984,22.2,0.5,0.2,1,1,5.424,8,0,-1,59.17
1988,21.3,-0.9,-1.4,-1,-1,2.21,4,1,-1,53.9
1992,22.1,0.8,1.7,1,1,2.949,2,1.25,-1,46.55
1996,20.2,-1.9,-2.7,-1,-1,3.258,4,0,1,54.74
2000,18.2,-2,-0.1,-1,-1,2.014,8,1,1,50.27
2004,19.6,1.4,3.4,1,1,1.989,1,0,-1,51.23
2008,20.8,1.2,-0.2,-1,1,-2.26,1,1,-1,46.3
