YEAR,VOTE2,VOTE2_1916_ff,ELECT,PREZ_RUNNING,F_2012,F1_2012,F2_2012,FISCAL_2012,FPRIME_2012,GROWTH,ALLNEWS,DURATION,PARTY
1880,50.22,,1,0,2.94,-0.65,-0.54,-1,-1,3.879,9,1.75,-1
1884,49.85,,-1,0,2.47,-0.47,0.18,-1,-1,1.589,2,2,-1
1888,50.41,,1,1,2.34,-0.13,0.34,-1,-1,-5.553,3,0,1
1892,48.27,,-1,1,2.57,0.23,0.36,1,1,2.763,7,0,-1
1896,47.76,,-1,0,2.86,0.29,0.06,1,1,-10.024,6,0,1
1900,53.17,,1,1,3.05,0.19,-0.1,-1,1,-1.425,7,0,-1
1904,60.01,,1,1,2.45,-0.6,-0.79,-1,-1,-2.421,5,1,-1
1908,54.48,,1,1,2.53,0.08,0.68,1,1,-6.281,8,1.25,-1
1912,54.71,,-1,1,2.47,-0.06,-0.14,-1,-1,4.164,8,1.5,-1
1916,51.682,51.682,1,1,2.1,-0.37,-0.31,-1,-1,2.229,3,0,1
1920,36.119,36.119,-1,0,7.68,5.58,5.95,1,1,-11.463,5,1,1
1924,58.244,58.244,1,1,4.22,-3.46,-9.04,-1,-1,-3.872,10,0,-1
1928,58.82,58.82,1,0,3.77,-0.45,3.01,-1,-1,4.623,7,1,-1
1932,40.841,40.841,-1,1,6.9,3.13,3.58,1,1,-14.586,4,1.25,-1
1936,62.458,62.458,1,1,10.5,3.6,0.47,1,1,11.836,9,0,1
1940,54.999,54.999,1,1,9.8,-0.7,-4.3,-1,-1,3.901,8,1,1
1944,53.774,53.774,1,1,43.6,33.8,34.5,1,1,4.233,14,1.25,1
1948,52.37,52.37,1,1,11.6,-32,-65.8,-1,-1,3.638,5,1.5,1
1952,44.595,44.595,-1,0,19.4,7.8,39.8,1,1,0.726,7,1.75,1
1956,57.764,57.764,1,1,16.5,-2.9,-10.7,-1,-1,-1.451,5,0,-1
1960,49.913,49.913,-1,0,17.8,1.3,4.2,1,1,0.455,5,1,-1
1964,61.344,61.344,1,1,18.5,0.7,-0.6,-1,1,5.087,10,0,1
1968,49.596,49.596,-1,0,20.5,2,1.3,1,1,5.049,7,1,1
1972,61.789,61.789,1,1,19.6,-0.9,-2.9,-1,-1,5.949,4,0,-1
1976,48.948,48.948,-1,1,21.4,1.8,2.7,1,1,3.806,5,1,-1
1980,44.697,44.697,-1,1,21.7,0.3,-1.5,-1,1,-3.659,5,0,1
1984,59.17,59.17,1,1,22.2,0.5,0.2,1,1,5.424,8,0,-1
1988,53.902,53.902,1,0,21.3,-0.9,-1.4,-1,-1,2.21,4,1,-1
1992,46.55,46.55,-1,1,22.1,0.8,1.7,1,1,2.949,2,1.25,-1
1996,54.736,54.736,1,1,20.2,-1.9,-2.7,-1,-1,3.258,4,0,1
2000,50.27,50.27,1,0,18.2,-2,-0.1,-1,-1,2.014,7,1,1
2004,51.233,51.233,1,1,19.6,1.4,3.4,1,1,1.989,1,0,-1
2008,46.31,46.31,-1,0,20.8,1.2,-0.2,-1,1,-2.26,1,1,-1
2012,,,,1,24.3,3.5,2.3,1,1,2.95,1,0,1
